Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Pliny the Elder,Russian River Brewing Co.,IPA,Imperial IPA,California,7/3/2017,July,2017,Dave E.,51,Ben W.,4.40,5.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,4.75,,,,,,4.50,,,,,,4.75,,,,,,,,,,,,,,,,5.00,,,,,,,,2.50,,,4.00,,,,,,,,4.00,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,
Double Two Hearted Ale Double American IPA,Bell's Brewery,IPA,Double IPA,Michigan,9/27/2019,September,2019,Kevin W.,77,Eric H.,4.30,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,4.75,,,,4.75,,,,4.50,,4.00,,,,,,4.75,,,,,,,,,,,,4.00,,,,5.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50
Guten Bock Dopplebock Lager,MadTree Brewing Co.,Bock,Doppelbock,Ohio,3/23/2023,March,2023,Zach M.,117,Zach M.,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,3.75,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,4.50,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
Lunch IPA,Maine Brewing Co.,IPA,American IPA,Maine,12/15/2023,December,2024,Paul W.,126,Paul W.,4.02,,,,,,,,,,,,,,,4.25,,3.50,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,4.00,,,,,2.00,,,,,,,,,,,,5.00,,,,,,,,4.50,,,,,,,,,,,4.50,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,4.25
Lil Coconut Imperial Sweet Stout,Angry Chair Brewing,Stout,American Imperial Stout,Florida,2/29/2024,February,2024,Scott T.,128,Matt T.,3.94,,,,,,,,,,,,4.00,,,3.50,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,4.50,,,,,,, ,,,,,,,,
Relative Rates Double India Pale Ale,Equilibrium Brewery,IPA,Double IPA,New York,2/29/2024,February,2024,Scott T.,128,Ben S.,3.94,,,,,,,,,,,,4.25,,,4.25,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,3.75,,,,,,,,,,,,,,,
KBS Imperial Stout,Founders Brewing Co.,Stout,American Imperial Stout,Michigan,11/27/2024,November,2024,Lee M.,137,Jake W.,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,3.25,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Astral Imperial Chocolate Oatmeal Stout ,Third Eye Brewing Co.,Stout,American Imperial Stout,Ohio,1/31/2025,January,2025,Scott T.,139,Scott T.,3.86,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,3.50,,3.00,,,,,,,3.75,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,5.00,,,,,,,,,,,,,,,
Copper Clouds IPA,Brewery Vivant,IPA,American IPA,Michigan,6/16/2017,June,2017,Denis M.,50,Adam W.,3.85,,,4.50,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,4.25,,,,,,4.00,,,,,,,,,,,,,,4.25,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,3.75,,3.75,,,,,,,,
Wrench Northeast IPA ,Industrial Arts Brewing Co.,IPA,New England/Hazy IPA,New York,9/26/2023,September,2023,Charlie D.,123,Charlie D.,3.82,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,4.25,,,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,3.50,,,,,,,,,3.75,,,,,,
