Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,Other Jake W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Mother Said Knock You Out Double IPA,BC's Brewing Co.,IPA,Double IPA,Ohio,12/12/2025,December,2025,Scott T.,150,Ryan F.,3.50,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,3.00,,3.00,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,3.75,,,4.00,,,,,,,3.50,,,,,,,,,,,,,,,
Single Origin Coffee Stout ,Masthead Brewing Co.,Stout,Coffee Stout,Ohio,12/12/2025,December,2025,Scott T.,150,Ben S.,3.31,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,2.75,,,3.50,,,,,,,3.75,,,,,,,,,,,,,,,
LaGrave Triple Golden Ale,Troegs Brewing Co.,Tripel,Belgian Tripel,Pennsylvania,12/12/2025,December,2025,Scott T.,150,Paul K.,2.78,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,2.50,,2.25,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,3.50,,,3.00,,,,,,,2.75,,,,,,,,,,,,,,,
Grape Fizz Ale,New Belgium Brewing Co.,Fruit and Field,,Colorado,12/12/2025,December,2025,Scott T.,150,Jake W.,1.84,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,1.50,,2.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,2.00,,,2.25,,,,,,,2.00,,,,,,,,,,,,,,,
Dahlia Brown Ale,Esoteric Brewing Co.,Brown,,Ohio,12/12/2025,December,2025,Scott T.,150,Dave E.,2.78,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.50,,2.50,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,2.50,,,2.00,,,,,,,3.00,,,,,,,,,,,,,,,
Leaf Creepers Double Dry Hopped Imperial India Pale Ale,Other Half Brewing Co.,IPA,Imperial IPA,New York,12/12/2025,December,2025,Scott T.,150,Rick S.,3.31,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,2.00,,3.00,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,3.75,,,4.25,,,,,,,3.25,,,,,,,,,,,,,,,
$60 Nachos Double India Pale Ale,Hoof Hearted Brewing,IPA,Imperial IPA,Ohio,12/12/2025,December,2025,Scott T.,150,David A.,3.16,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,1.75,,3.00,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,3.25,,,4.25,,,,,,,3.50,,,,,,,,,,,,,,,
Holly Days IPA with Spruce Tips,MadTree Brewing Co.,IPA,American IPA,Ohio,12/12/2025,December,2025,Scott T.,150,Scott T.,2.84,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.00,,2.75,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,2.25,,,2.75,,,,,,,4.00,,,,,,,,,,,,,,,
Off Black Black Pilsner,Hopewell Brewing Co.,Pilsner,,Illinois,1/9/2026,January,2026,Paul W.,151,Lee M.,3.02,,,,,,,,,,,,,,,4.00,,,3.75,,,,,3.25,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,2.50,2.50,,,,,3.25,,,,,2.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,2.00,3.25,,,,,,2.50,,,2.50,,,,,,,3.00,,,,,,,,,,,,,,,4.50
Java the Stout Coffee Stout,Jackie O's Brewery,Stout,Coffee Stout,Ohio,1/9/2026,January,2026,Paul W.,151,Ben S.,2.88,,,,,,,,,,,,,,,4.00,,,3.50,,,,,3.00,,,,,,,,,,,3.25,,2.50,,,,,,,,,,,2.25,3.00,,,,,3.50,,,,,2.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,2.50,3.00,,,,,,2.25,,,2.50,,,,,,,2.50,,,,,,,,,,,,,,,2.75
