Book,Publisher,State/Country,Year,,States,,,Countries,
Pliny the Elder,Russian River Brewing Co.,California,2017,,1,Alabama,,1,Argentina
Double Two Hearted Ale Double American IPA,Bell's Brewery,Michigan,2019,,8,Alaska,,2,Australia
Guten Bock Dopplebock Lager,MadTree Brewing Co.,Ohio,2023,,0,Arizona,,2,Austria
Lunch IPA,Maine Brewing Co.,Maine,2024,,1,Arkansas,,15,Belgium
Lil Coconut Imperial Sweet Stout,Angry Chair Brewing,Florida,2024,,84,California,,1,Brazil
Relative Rates Double India Pale Ale,Equilibrium Brewery,New York,2024,,67,Colorado,,9,Canada
KBS Imperial Stout,Founders Brewing Co.,Michigan,2024,,11,Connecticut,,2,China
Double Astral Imperial Chocolate Oatmeal Stout ,Third Eye Brewing Co.,Ohio,2025,,19,Delaware,,1,Colombia
Copper Clouds IPA,Brewery Vivant,Michigan,2017,,11,Florida,,2,Costa Rica
Wrench Northeast IPA ,Industrial Arts Brewing Co.,New York,2023,,13,Georgia,,3,Croatia
Broccoli Double Dry Hopped Imperial India Pale Ale,Other Half Brewing Co.,New York,2024,,6,Hawaii,,7,Denmark
Ziegler Oktoberfest Lager,MadTree Brewing Co.,Ohio,2021,,0,Idaho,,1,France
Old Rasputin Russian Imperial Stout,North Coast Brewing Co.,California,2019,,38,Illinois,,41,Germany
Boat Show IPA,Yellow Springs Brewery,Ohio,2018,,44,Indiana,,1,Guatemala
Amber Ale,West Sixth Brewing Co.,Kentucky,2013,,8,Iowa,,4,Iceland
Pumpkin Ale,Rivertown Brewing Co.,Ohio,2013,,0,Kansas,,1,India
Raven Export Stout,Rhinegeist Brewing Co.,Ohio,2023,,64,Kentucky,,10,Ireland
Chocolate Oak Aged Yeti Imperial Stout,Great Divide Brewing Co.,Colorado,2016,,7,Louisiana,,1,Jamaica
Zombie Dust Pale Ale,3 Floyds Brewing Co.,Indiana,2018,,8,Maine,,2,Japan
Beer For Huddles Amber Ale,Off Color Brewing,Illinois,2025,,26,Maryland,,1,Mexico
Organic Chocolate Stout,Samuel Smith Old Brewery,UK,2016,,27,Massachusetts,,1,Netherlands
Speedway Stout Imperial Stout With Coffee,AleSmith Brewing Co.,California,2020,,95,Michigan,,1,Nicaragua
Bamm Bamm Rubble Rubble Sour Ale Now With Rainbow Sherbet,WeldWerks Brewing Co.,Colorado,2024,,5,Minnesota,,1,Philippines
10W-40 Imperial Stout,Hi-Wire Brewing,North Carolina,2019,,1,Mississippi,,1,Poland
S'More Gratitude,MadTree Brewing Co.,Ohio,2018,,21,Missouri,,2,Russia
Preserved In Three Dimensions Double India Pale Ale,Hop Butcher for the World,Illinois,2022,,2,Montana,,2,Rwanda
Oberon Ale,Bell's Brewery,Michigan,2015,,0,Nebraska,,1,Spain
Axis Mundi,MadTree Brewing Co.,Ohio,2016,,2,Nevada,,3,Sweden
Dirty Bastard Scotch Ale,Founders Brewing Co.,Michigan,2016,,4,New Hampshire,,1,Thailand
Robert the Bruce Scottish Style Ale,3 Floyds Brewing Co.,Indiana,2015,,2,New Jersey,,30,UK
Octoberfest Marzen Lager,Left Hand Brewing Co.,Colorado,2013,,3,New Mexico,,"1,292",United States
Phantom Forest Juicy Imperial IPA,MadTree Brewing Co.,Ohio,2020,,54,New York,,,
10W-40 Chai Imperial Stout,Hi-Wire Brewing,North Carolina,2021,,32,North Carolina,,,
Buckeye Stout,Sonder Brewing,Ohio,2021,,1,North Dakota,,,
Cryo Fresh Hop Bayou Juice Hazy India Pale Ale,WeldWerks Brewing Co. / Parish Brewing Co.,Colorado,2024,,509,Ohio,,,
Rabbit West Coast Style India Pale Ale,Trillium Brewing,Massachusetts,2025,,1,Oklahoma,,,
Fork in the Road India Amber Ale,Blank Slate Brewing Co.,Ohio,2016,,17,Oregon,,,
Oh Mai! Golden Ale,MadTree Brewing Co.,Ohio,2022,,37,Pennsylvania,,,
Quentin Quarantino DDH IPA,Taft's Brewing Co.,Ohio,2020,,2,Rhode Island,,,
From the Market,Boston Beer Co.,Massachusetts,2023,,5,South Carolina,,,
Pernicious IPA,Wicked Weed Brewing,North Carolina,2017,,1,South Dakota,,,
Salted Caramel Imperial Stout,Southern Tier Brewing Co.,New York,2017,,9,Tennessee,,,
Expedition Stout,Bell's Brewery,Michigan,2018,,3,Texas,,,
Lord Rear Admiral ESB,3 Floyds Brewing Co.,Indiana,2019,,12,Utah,,,
Dino Bits Hazy Double India Pale Ale,Weldwerks Brewing Co. / Toppling Goliath Brewing Co.,Colorado,2025,,5,Vermont,,,
Happy Amber,MadTree Brewing Co.,Ohio,2014,,7,Virginia,,,
Trappistes Rochefort 10,Brasserie de Rochefort,Belgium,2017,,2,Washington,,,
Springbok South African IPA,New Holland Brewing Co.,Michigan,2017,,1,West Virginia,,,
Imperial Java Stout ,Santa Fe Brewing Co.,New Mexico,2026,,14,Wisconsin,,,
White Stouts Can't Jump Imperial White Stout,Abomination Brewing,Connecticut,2023,,2,Wyoming,,,
St. Peter's Cream Stout,St. Peter's Brewery Co.,UK,2017,,,,,,
Voodoo Ranger Tropic Force IPA,New Belgium Brewing Co.,Colorado,2025,,,,,,
Moloko Milk Stout,3 Floyds Brewing Co.,Indiana,2023,,,,,,
